New Words,Examples
Annie developed an injury to her back due to gymnastics class,"That spring, Annie developed an injury to her back due to gymnastics class. Her flexibility caused her to develop a hairline crack on one of her vertebra."
she needed to wear a back brace for several months,"This meant limited activities for her, and she needed to wear a back brace for several months"
He invited our family down in,To resume duty as a police patrolmanÑthe job he had held before shipping out to Iraq. He invited our family down in February 2006 to meet him face to face. We decided to meet Scott and his fiancŽe down at the beach.
and connect to broader impacts,"the user emphasized turning complicated things into simple, impactful messages. So the stories should be concise, highlight survival strategies, and connect to broader impacts."
took advantage of foggy days along the coast,"Often from high above she had watched as large oil tankers took advantage of foggy days along the coast, to steam away from land to wash out their tanks."
"spilled thousands of gallons of a thick, stinking substance","They spilled thousands of gallons of a thick, stinking substance into the sea, which then was carried along by the waves."
global workforce will need to switch to a different occupation,"According to a leading business consultancy, 3-14% of the global workforce will need to switch to a different occupation within the next 10-15 years, and all workers will need to adapt as their occupations evolve alongside increasingly capable machines. "
 is one aspect of the disruptive effects of technology on the labour market,"Automation Ð or Ôembodied artificial intelligenceÕ (AI) Ð is one aspect of the disruptive effects of technology on the labour market. ÔDisembodied AIÕ, like the algorithms running in our smartphones, is another."
some of the most fundamental changes are happening as a result of the ÔalgorithmicationÕ,Dr Stella Pachidi from Cambridge Judge Business School believes that some of the most fundamental changes are happening as a result of the ÔalgorithmicationÕ of jobs that are dependent on data rather than on production Ð the so-called knowledge economy.
 Algorithms are capable of learning from data to undertake tasks that previously needed human judgement," Algorithms are capable of learning from data to undertake tasks that previously needed human judgement, such as reading legal contracts, analysing medical scans and gathering market intelligence."
as well as to reduce costs and enhance productivity,"ÔIn many cases, they can outperform humans,Õ says Pachidi. ÔOrganisations are attracted to using algorithms because they want to make choices based on what they consider is Òperfect informationÓ, as well as to reduce costs and enhance productivity.Õ"
etiquette,Why bother with email etiquette?
may l please trouble you for the electric car revenue projection numbers,"Hi Jane, may l please trouble you for the electric car revenue projection numbers?"
the product marketing team is currently preparing a forecast deck,the product marketing team is currently preparing a forecast deck for the big boss and weÕre hoping to use the projections to fight for more budget. It would be amazing to get numbers for 2025 to 2030 in a Google Sheets format.
roductivity is not intuitive or easy,Maintainin a high level of productivity is not intuitive or easy Ð but you donÕt have to resign yourself to feeling discouraged and depleted at the end of every workday.Ê
the topic seemed essentially trivial and ridiculous to her,"Anna wasnÕt, by nature, someone who liked to make a big deal of such things; the topic seemed essentially trivial and ridiculous to her."
She knew what an inconsequential person she was,She knew what an inconsequential person she was Ð and how many more serious and important matters there were in the world. (She would have been surprised and appalled to know we were even thinking about her.) 
"Still, nor could she entirely overlook","Still, nor could she entirely overlook Ð or stop covertly ruminating about Ð the uncomfortable detail that she would, at some point in the early hours of the following day, be turning twenty-nine."
The old wooden door creaked open,"The old wooden door creaked open, revealing a long, dark hallway"
The streetlights cast long shadows,"The streetlights cast long shadows as he began to walk slowly down the empty street, his footsteps echoing in the silence."
the first hints of sunrise began to appear on the horizon over the city,"As he walked, the first hints of sunrise began to appear on the horizon over the city. The air was still cool and quiet. He imagined Nancy still asleep, perhaps with a frown on her face. He hoped the flowers would bring a smile back to her."
 slowly starting to get busier as the sky grew lighter,The bus station was slowly starting to get busier as the sky grew lighter.
a new plan forming in his mind.,"He put his phone away, a new plan forming in his mind."
the air outside the factory was thick with humid heat,"It was a mid-June day in Japan, and the air outside the factory was thick with humid heat. Martha glanced out the window, noticing the shimmering heat waves rising from the asphalt. She returned her gaze to the mysterious package, a bead of sweat trickling down her temple."
